clade_name	sub-MIC015	sub-MIC105	sub-MIC104	sub-MIC103	sub-MIC102	sub-MIC101	sub-MIC100	sub-MIC099	sub-MIC098	sub-MIC014	sub-MIC097	sub-MIC096	sub-MIC095	sub-MIC094	sub-MIC093	sub-MIC092	sub-MIC091	sub-MIC090	sub-MIC088	sub-MIC087	sub-MIC013	sub-MIC085	sub-MIC084	sub-MIC083	sub-MIC082	sub-MIC081	sub-MIC080	sub-MIC079	sub-MIC078	sub-MIC077	sub-MIC076	sub-MIC012	sub-MIC073	sub-MIC072	sub-MIC071	sub-MIC070	sub-MIC069	sub-MIC068	sub-MIC065	sub-MIC064	sub-MIC063	sub-MIC061	sub-MIC010	sub-MIC060	sub-MIC059	sub-MIC057	sub-MIC056	sub-MIC053	sub-MIC052	sub-MIC051	sub-MIC049	sub-MIC048	sub-MIC017	sub-MIC016	sub-MIC003	sub-MIC002	sub-MIC047	sub-MIC009	sub-MIC046	sub-MIC045	sub-MIC044	sub-MIC043	sub-MIC042	sub-MIC041	sub-MIC040	sub-MIC039	sub-MIC038	sub-MIC037	sub-MIC008	sub-MIC036	sub-MIC035	sub-MIC034	sub-MIC033	sub-MIC032	sub-MIC031	sub-MIC029	sub-MIC028	sub-MIC027	sub-MIC026	sub-MIC005	sub-MIC025	sub-MIC024	sub-MIC023	sub-MIC022	sub-MIC021	sub-MIC020	sub-MIC019	sub-MIC018
k__Bacteria___p__Nitrospirota___c__Nitrospiria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Patescibacteria___c__Saccharimonadia	0	0	0	0	5	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Planctomycetota___c__Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria___p__Pseudomonadota___c__Alphaproteobacteria	19	240	0	0	231	2021	0	381	209	49	33	2	11	0	0	575	159	4	0	0	13	2198	0	0	0	0	0	0	1443	0	0	408	35	286	0	10	53	654	2	4	57	0	6	0	18	0	831	49	3	36	40	61	10	29	0	8	6	3	5	7	5	8	53	2	15	5	3	0	230	12	15	0	5	176	105	9	0	0	11	0	0	24	5	7	20	7	44	9
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria	194	482	1087	553	7345	6277	944	23289	4637	572	831	1987	702	601	570	27729	1144	1480	861	14027	137	193	226	7194	1010	1649	1061	6730	2105	4674	963	138	1588	927	1546	1320	529	70	489	348	3300	1937	72	22	832	2909	416	1491	425	835	91	91	387	430	613	353	174	158	231	75	328	395	95	448	65	2420	83	1159	100	150	145	1488	289	544	1441	292	200	53	193	45	705	1377	702	239	12132	462	4138	4622
k__Bacteria___p__Spirochaetota___c__Spirochaetia	0	0	0	0	0	0	0	0	4204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	21272	0	0	13004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Synergistota___c__Synergistia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Thermodesulfobacteriota___c__Desulfovibrionia	20	319	150	27	69	77	4	264	505	3	6	426	167	11	146	309	131	295	7	93	2	69	72	632	83	247	566	51	513	104	0	2	26	45	64	19	97	166	644	27	25	0	18	10	79	7	103	0	65	100	2	0	7	4	0	10	38	19	0	0	3	0	43	0	188	0	8	6	26	0	4	19	4	16	18	155	17	0	11	167	45	14	7	16	11	0	0	3
k__Bacteria___p__Verrucomicrobiota___c__Kiritimatiellia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	6	0	0	86	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Verrucomicrobiota___c__Lentisphaeria	10	0	0	0	15	5	5	72	4	0	0	0	30	0	715	105	13	6	0	74	0	3	9	0	0	0	33	0	0	23	0	0	0	0	37	160	2299	0	94	0	0	0	0	0	0	0	278	0	50	161	0	36	4	0	0	45	0	6	0	0	11	0	12	0	15	0	0	4	50	0	0	0	0	7	41	0	0	0	0	35	0	25	0	8	19	0	0	0
k__Bacteria___p__Verrucomicrobiota___c__Verrucomicrobiia	16	0	32	29	101	15	0	34	25	0	9	77	0	0	4	45	445	698	0	22	76	20	89	0	5	0	41	8	0	141	0	32	0	271	125	16	0	1095	1442	0	404	0	23	8	10	0	174	0	222	0	0	0	0	0	11	77	4	0	115	12	0	0	60	0	4	0	0	0	60	0	0	0	0	14	448	1406	41	0	47	51	0	9	0	0	0	7	0	0
