clade_name	SRR8417368	SRR8417371	SRR8417382	SRR8417384	SRR8417386	SRR8417394	SRR8417395	SRR8417398	SRR8417399	SRR8417407	SRR8417412	SRR8417413	SRR8417418	SRR8417422	SRR8417444	SRR8417446	SRR8417447	SRR8417450	SRR8417452	SRR8417454	SRR8417458	SRR8417460	SRR8417461	SRR8417463	SRR8417464	SRR8417465	SRR8417467	SRR8417469	SRR8417475	SRR8417480	SRR8417496	SRR8417499	SRR8417500	SRR8417501	SRR8417502	SRR8417503	SRR8417505	SRR8417510	SRR8417512	SRR8417516	SRR8417529	SRR8417534	SRR8417535	SRR8417536	SRR8417538	SRR8417542	SRR8417558	SRR8417559	SRR8417561	SRR8417565	SRR8417567	SRR8417569	SRR8417572	SRR8417591	SRR8417593	SRR8417595	SRR8417597
d__Bacteria___p__Firmicutes___c__Clostridia___o__Christensenellales___f__Christensenellaceae	55	0	0	2	0	0	0	0	0	28	0	91	0	0	0	0	0	0	269	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	106	0	0	0	0	0	0	0	0	0	0	0	0	305	27	99	347	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Christensenellales___f__Christensenellaceae___g__Christensenellaceae_R-7_group	55	0	0	2	0	0	0	0	0	28	0	91	0	0	0	0	0	0	269	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	106	0	0	0	0	0	0	0	0	0	0	0	0	305	27	99	347	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridia_UCG-014	0	0	0	0	0	0	0	0	0	0	0	34	0	0	29	0	0	0	0	0	50	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	88
d__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Clostridiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Clostridiaceae___g__Clostridium_sensu_stricto_1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Eubacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Eubacteriales___f__Eubacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Eubacteriales___f__Eubacteriaceae___g__Eubacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Lachnospirales	58	42	36	67	7	254	71	69	0	220	0	10	164	0	126	0	9	333	0	30	49	205	46	0	120	33	40	0	0	0	158	119	65	69	0	70	5	49	16	35	50	8	170	0	4	129	50	156	0	125	27	99	0	124	24	43	172
d__Bacteria___p__Firmicutes___c__Clostridia___o__Lachnospirales___f__Lachnospiraceae	58	42	36	67	7	254	71	69	0	220	0	10	164	0	126	0	9	333	0	30	49	205	46	0	120	33	40	0	0	0	158	119	65	69	0	70	5	49	16	35	50	8	170	0	4	129	50	156	0	125	27	99	0	124	24	43	172
d__Bacteria___p__Firmicutes___c__Clostridia___o__Lachnospirales___f__Lachnospiraceae___g__Agathobacter	0	42	0	0	0	36	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	16	0	0	0	0	0	0	0	0	0	0	49	0	0	0	8	0	0	0	0	0	93	0	76	5	0	0	42	24	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Lachnospirales___f__Lachnospiraceae___g__Anaerostipes	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	37	0	0	2	0	0	0	17	0	6	0	0	0	0	21	13	0	0	20	0	0	0	0	0	0	170	0	0	0	0	0	0	49	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Lachnospirales___f__Lachnospiraceae___g__Blautia	0	0	0	0	0	67	0	0	0	0	0	0	18	0	0	0	0	60	0	0	0	0	4	0	0	0	0	0	0	0	0	49	0	0	0	50	5	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Clostridia___o__Lachnospirales___f__Lachnospiraceae___g__Cellulosilyticum	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
