clade_name	DN1	DN10	DN11	DN12	DN13	DN14	DN15	DN2	DN3	DN4	DN5	DN6	DN7	DN8	DN9	HN1	HN10	HN11	HN12	HN13	HN14	HN15	HN2	HN3	HN4	HN5	HN6	HN7	HN8	HN9
d__Bacteria___p__Cyanobacteria___c__Vampirivibrionia___o__Gastranaerophilales	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	21	0
d__Bacteria___p__Desulfobacterota	15	13	0	21	3	0	32	0	45	0	25	14	0	35	14	55	683	151	150	129	157	0	0	57	0	0	0	36	0	214
d__Bacteria___p__Desulfobacterota___c__Desulfovibrionia	15	13	0	21	3	0	32	0	45	0	25	14	0	35	14	55	683	151	150	129	157	0	0	57	0	0	0	36	0	214
d__Bacteria___p__Desulfobacterota___c__Desulfovibrionia___o__Desulfovibrionales	15	13	0	21	3	0	32	0	45	0	25	14	0	35	14	55	683	151	150	129	157	0	0	57	0	0	0	36	0	214
d__Bacteria___p__Desulfobacterota___c__Desulfovibrionia___o__Desulfovibrionales___f__Desulfovibrionaceae	15	13	0	21	3	0	32	0	45	0	25	14	0	35	14	55	683	151	150	129	157	0	0	57	0	0	0	36	0	214
d__Bacteria___p__Desulfobacterota___c__Desulfovibrionia___o__Desulfovibrionales___f__Desulfovibrionaceae___g__Bilophila	10	13	0	0	3	0	32	0	45	0	25	0	0	35	4	55	137	87	139	129	157	0	0	0	0	0	0	36	0	176
d__Bacteria___p__Desulfobacterota___c__Desulfovibrionia___o__Desulfovibrionales___f__Desulfovibrionaceae___g__Desulfovibrio	0	0	0	21	0	0	0	0	0	0	0	14	0	0	10	0	513	64	0	0	0	0	0	57	0	0	0	0	0	0
d__Bacteria___p__Desulfobacterota___c__Desulfovibrionia___o__Desulfovibrionales___f__Desulfovibrionaceae___g__Mailhella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	38
d__Bacteria___p__Elusimicrobiota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Elusimicrobiota___c__Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Elusimicrobiota___c__Elusimicrobia___o__Elusimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Elusimicrobiota___c__Elusimicrobia___o__Elusimicrobiales___f__Elusimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Elusimicrobiota___c__Elusimicrobia___o__Elusimicrobiales___f__Elusimicrobiaceae___g__Elusimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes	1712	8879	16824	17314	18712	18683	14112	7577	11955	8205	3395	6647	8841	2844	12015	5711	13990	9925	3136	8227	9689	17620	15262	7489	10063	6861	3684	18539	9275	8258
d__Bacteria___p__Firmicutes___c__Bacilli	46	738	3133	2219	967	486	349	922	673	244	24	63	489	948	197	115	5165	181	40	367	295	1947	829	85	5334	1226	840	2245	32	565
d__Bacteria___p__Firmicutes___c__Bacilli___o__Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4844	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Bacillales___f__Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4844	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Bacillales___f__Planococcaceae___g__Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4844	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales	20	50	2859	1719	816	332	164	711	580	236	18	50	407	751	87	65	69	122	14	214	275	1746	690	77	343	208	815	2122	25	144
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelatoclostridiaceae	10	40	900	74	802	167	103	683	168	97	11	10	371	52	74	51	41	38	0	25	263	97	144	37	70	129	100	561	25	128
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelatoclostridiaceae___g__Candidatus_Stoquefichus	0	0	0	0	4	119	7	0	16	0	0	0	0	0	11	0	0	20	0	0	0	0	60	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelatoclostridiaceae___g__Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	62	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelatoclostridiaceae___g__Coprobacillus	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelatoclostridiaceae___g__Erysipelatoclostridium	10	5	35	17	34	48	7	0	10	79	0	0	0	52	10	0	3	6	0	4	36	10	84	0	0	10	0	0	0	6
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelatoclostridiaceae___g__Erysipelotrichaceae_UCG-003	0	35	865	57	764	0	89	683	142	0	11	10	371	0	0	6	36	12	0	21	227	87	0	29	8	119	100	561	25	122
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelatoclostridiaceae___g__UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae	10	10	1959	1645	14	165	61	28	412	139	7	40	36	699	13	14	28	84	14	189	12	1649	546	40	265	79	715	1561	0	16
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Dielma	10	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	6	2	0	0	11	0	0	5	0	6
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Faecalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Faecalitalea	0	0	5	0	9	151	20	6	320	0	2	0	0	0	13	0	0	0	0	0	6	0	202	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Holdemanella	0	0	1898	1602	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506	3	5	72	0	701	1223	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Holdemania	0	7	8	3	0	0	19	14	35	28	5	0	3	0	0	14	0	2	0	8	0	0	12	0	0	0	0	20	0	10
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Merdibacter	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	7	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Erysipelotrichales___f__Erysipelotrichaceae___g__Turicibacter	0	3	30	25	0	0	0	0	36	0	0	38	33	0	0	0	20	69	8	181	0	141	126	35	0	3	14	313	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Izemoplasmatales	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales	26	29	274	208	151	154	185	211	93	8	6	0	82	197	108	50	0	32	26	138	20	201	139	8	147	1018	25	123	4	413
