clade_name	2001	2002	2003	2005	2006	2008	2009	2010	2011	2012	2013	2014	2016	2017	2018	2019	2021	2022	2023	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2046	2047	2049	2050	2051	2052	2053	2054	3001	3002	3003	3004	3005	3010	3011	3013	3014	3015	3016	3017	3018	3022	3026	3030	3031	3032	3036	3038	3039	3040	3042	3043	3045	3046	3047	3048	3050	3051	3053	3056	3057	3059	3060	3061	3063	3065	3066	3067	3068	3069	3070
k__Bacteria___p__Pseudomonadota___c__Alphaproteobacteria	0	0	2	0	0	0	67	0	2	0	0	0	526	0	430	0	0	877	0	2	0	464	0	57	0	0	55	0	864	0	19	44	0	0	0	0	2923	5	0	0	0	2491	0	0	0	1187	945	0	0	0	0	1385	0	525	0	0	0	0	0	0	2	0	0	0	0	0	0	1956	0	0	0	0	0	0	11674	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria	260	764	1162	761	82	714	476	1425	637	869	1893	0	1441	27	791	168	703	1869	931	1279	1247	496	391	882	1257	1064	335	1612	50	672	1088	126	1373	976	20	6689	1053	1505	1503	105	52	1420	3	1284	524	351	542	999	430	1237	973	1472	1067	918	889	2556	387	1708	23	2237	48	29	1689	2792	717	1440	2041	2107	3232	1002	1580	1076	685	3323	2728	1705	623	521	648	1943	3762	742	1137	864	1001	995	57	2062	283	3804
k__Bacteria___p__Spirochaetota___c__Brachyspirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Synergistota___c__Synergistia	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Thermodesulfobacteriota___c__Desulfovibrionia	0	177	236	162	0	131	121	293	11	61	19	0	478	336	282	69	79	342	84	273	91	351	168	219	152	194	59	272	536	274	4	0	315	89	0	0	247	105	133	144	0	696	122	180	0	222	141	464	725	30	45	422	183	353	359	3	0	0	88	496	22	0	167	415	424	0	333	524	483	174	92	176	9	598	410	0	0	243	398	235	365	239	88	132	0	0	34	34	463	331
k__Bacteria___p__Verrucomicrobiota___c__Lentisphaeria	0	16	0	0	0	0	0	0	0	0	0	0	90	0	0	490	0	0	0	0	0	1364	53	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	52	16	11	0	0	22	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
k__Bacteria___p__Verrucomicrobiota___c__Verrucomicrobiia	2	950	67	144	0	0	0	9	760	0	849	690	288	81	507	0	0	1903	0	311	122	84	456	0	0	27	13	0	0	0	0	0	2221	0	66	0	404	33	163	763	0	356	0	0	0	295	99	0	1031	0	0	0	0	733	998	44	0	151	8	0	14	0	0	178	102	0	0	0	0	107	0	5	0	0	735	0	0	0	0	455	0	958	0	19	0	0	146	0	0	3632
k__Archaea___p__Methanobacteriota___c__Methanobacteria___o__Methanobacteriales	0	102	0	104	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	46	0	0	48	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	124	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
k__Archaea___p__Thermoplasmatota___c__Thermoplasmata___o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Bifidobacteriales	0	3220	628	2483	375	1808	154	2015	0	1461	118	661	2029	6443	178	482	338	174	484	3324	1065	178	7088	281	757	0	1094	1357	122	752	340	1485	29	297	32	20	290	170	157	0	0	272	1208	127	66	0	514	532	4640	384	309	129	433	520	0	2155	67	1675	0	187	1103	38	361	0	20	330	0	248	3900	32	386	21	2286	3842	883	639	0	8302	0	444	15	2373	147	216	144	0	304	1335	0	27
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Mycobacteriales	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales	82	288	150	394	18	18	51	67	178	118	31	13	56	817	58	22	86	16	74	416	80	67	163	104	38	122	224	99	113	32	89	19	100	118	6	20	110	125	101	27	5	54	252	321	54	153	156	372	312	208	111	0	148	238	124	8	78	7	116	10	4	5	237	7	241	125	59	83	1016	119	208	55	102	282	161	165	9	400	153	85	58	36	31	143	105	25	14	62	88	296
k__Bacteria___p__Bacillota___c__Bacilli___o__Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Bacillota___c__Bacilli___o__Erysipelotrichales	965	318	260	257	39	250	629	168	2443	334	572	554	63	462	349	155	325	500	318	167	131	2224	42	622	162	695	123	399	161	391	323	537	570	185	32	42	1027	703	74	1383	36	255	246	324	203	82	221	487	104	368	1919	158	301	407	67	280	224	208	130	444	322	144	334	164	347	20	460	73	442	252	372	428	133	140	473	168	939	302	1156	89	660	278	411	226	144	176	1411	521	144	383
k__Bacteria___p__Bacillota___c__Bacilli___o__Izemoplasmatales	0	10	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	5	0	0	0	0	0	538	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0
